"filename", "language", "C++", "JSON with Comments", "Batch", "Markdown", "comment", "blank", "total"
"d:\Desktop\Document\Coding\C++\ACM\ICPC\2021ICPC_Aisa_Nanjing\M_Windblume_Festival.cpp", "C++", 66, 0, 0, 0, 3, 12, 81
"d:\Desktop\Document\Coding\C++\ACM\ICPC\2022ICPC_Asic_Nanjing\D_Chat_Program.cpp", "C++", 133, 0, 0, 0, 6, 14, 153
"d:\Desktop\Document\Coding\C++\ACM\ICPC\2022ICPC_Asic_Nanjing\G_Path.cpp", "C++", 45, 0, 0, 0, 3, 13, 61
"d:\Desktop\Document\Coding\C++\ACM\ICPC\202301\1.cpp", "C++", 142, 0, 0, 0, 53, 15, 210
"d:\Desktop\Document\Coding\C++\ACM\ICPC\202301\2.cpp", "C++", 143, 0, 0, 0, 52, 13, 208
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\1003.cpp", "C++", 154, 0, 0, 0, 28, 17, 199
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\18HeilongjiangA.cpp", "C++", 31, 0, 0, 0, 1, 6, 38
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\18HeilongjiangE.cpp", "C++", 38, 0, 0, 0, 0, 6, 44
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\18HeilongjiangF copy 2.cpp", "C++", 52, 0, 0, 0, 3, 5, 60
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\18HeilongjiangF copy.cpp", "C++", 28, 0, 0, 0, 3, 5, 36
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\18HeilongjiangF.cpp", "C++", 33, 0, 0, 0, 0, 3, 36
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\Nowcoder59788\B.cpp", "C++", 59, 0, 0, 0, 0, 4, 63
